FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|COUNTY_NAME|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|MAP_NAME|DATE_CREATED|DATE_EDITED
217920|Mad River|Stream|CA|Humboldt|40.9557002|-124.1273839|40.2054271|-123.156409|2|Tyee City|01/19/1981|12/10/2013
217923|Pinehem Creek|Stream|CA|El Dorado|38.7565685|-120.9716083|38.7335737|-120.982938|206|Coloma|01/19/1981|06/16/2016
217925|San Clemente Creek|Stream|CA|Marin|37.9254806|-122.4996962|37.9196474|-122.5071965|-1|San Quentin|01/19/1981|08/17/2016
217927|South Branch Tularcitos Creek|Stream|CA|Santa Clara|37.4446606|-121.8741229|37.4497222|-121.8652778|61|Calaveras Reservoir|01/19/1981|07/15/2016
217928|Stoney Creek|Stream|CA|Merced|37.5077144|-120.3585233|37.4788399|-120.339426|93|Merced Falls|01/19/1981|07/10/2015
217931|Upper North Fork Honeydew Creek|Stream|CA|Humboldt|40.1926401|-124.1380958|40.1676407|-124.1247611|213|Shubrick Peak|01/19/1981|04/12/2016
217957|Ackerman Creek|Stream|CA|Mendocino|39.1785032|-123.1991717|39.2215592|-123.33973|184|Ukiah|01/19/1981|05/31/2016
217967|Adams Creek|Stream|CA|Mendocino|38.8882372|-123.2775076|38.8997222|-123.2977778|296|Ornbaun Valley|01/19/1981|05/31/2016
217982|Addle Canyon|Valley|CA|Inyo|36.9205457|-117.9633536|36.9381683|-117.9883279|1630|Waucoba Canyon|01/19/1981|06/01/2017
217989|Adobe Creek|Stream|CA|Santa Clara|37.4527169|-122.0913517|37.3199419|-122.155242|1|Mountain View|01/19/1981|06/23/2015
217990|Adobe Creek|Stream|CA|Sonoma|38.2238059|-122.6052624|38.3179699|-122.5752616|1|Petaluma River|01/19/1981|06/06/2014
218039|Al Brass Creek|Stream|CA|El Dorado|38.890179|-120.7421528|38.9011111|-120.7063889|791|Tunnel Hill|01/19/1981|12/13/2015
218040|Al Shinn Canyon|Valley|CA|Lassen|40.6751776|-120.0671552|40.7013889|-120.0088889|1533|Al Shinn Canyon|01/19/1981|08/17/2016
218044|Alambique Creek|Stream|CA|San Mateo|37.4032728|-122.2477445|37.4007733|-122.2888575|112|Palo Alto|01/19/1981|06/23/2015
218054|Alamitos Creek|Stream|CA|Santa Clara|37.2466104|-121.8710646|37.1655556|-121.8261111|60|Santa Teresa Hills|01/19/1981|06/29/2015
218061|Alaska Canyon|Valley|CA|Lassen|41.0426748|-120.1610501|41.1236111|-120.1536111|1870|Boot Lake|01/19/1981|08/17/2016
218063|Alba Creek|Stream|CA|Santa Cruz|37.1027251|-122.1038532|37.0963889|-122.1236111|108|Felton|01/19/1981|04/21/2015
218070|Albert Canyon|Valley|CA|San Mateo|37.4877175|-122.3919176|37.481606|-122.3610828|62|Half Moon Bay|01/19/1981|06/29/2015
218084|Alder Basin Creek|Stream|CA|Trinity|40.0893182|-123.0400142|40.0875|-123|1476|Wrights Ridge|01/19/1981|06/08/2016
218088|Alder Creek|Stream|CA|Lake|38.8518472|-122.7572131|38.81|-122.7527778|700|The Geysers|01/19/1981|06/08/2016
218089|Alder Creek|Stream|CA|Mendocino|38.9860125|-123.42112|38.9833333|-123.3869444|146|Zeni Ridge|01/19/1981|06/08/2016
218090|Alder Creek|Stream|CA|Mendocino|39.3862731|-123.043058|39.4061111|-123.0577778|469|Van Arsdale Reservoir|01/19/1981|06/08/2016
218091|Alder Creek|Stream|CA|Mendocino|39.4279399|-123.290565|39.4444444|-123.28|471|Willits|01/19/1981|06/08/2016
218093|Alder Creek|Stream|CA|Mendocino|39.8479315|-123.2894596|39.8444444|-123.3488889|475|Covelo West|01/19/1981|06/08/2016
218094|Alder Creek|Stream|CA|Siskiyou|41.5423754|-122.0622293|41.5011111|-122.0094444|1539|West Haight Mountain|01/19/1981|12/17/2015
218096|Alder Creek|Stream|CA|Sacramento|38.6385156|-121.2066146|38.6193496|-121.0924449|38|Folsom|01/19/1981|12/13/2015
218098|Alder Creek|Stream|CA|Mendocino|39.0046291|-123.696685|38.9765694|-123.4866762|1|Mallo Pass Creek|01/19/1981|06/08/2016
218099|Alder Creek|Stream|CA|Mendocino|39.6109911|-123.3958468|39.647657100000004|-123.4116811|419|Longvale|01/19/1981|06/08/2016
218100|Alder Creek|Stream|CA|Mendocino|39.6204352|-123.3241791|39.6465458|-123.3047346|322|Willis Ridge|01/19/1981|06/08/2016
218140|Allen Creek|Stream|CA|Humboldt|40.3870838|-123.9239301|40.3930556|-123.9002778|36|Redcrest|01/19/1981|06/08/2016
218141|Allen Creek|Stream|CA|Humboldt|40.5740233|-124.0419939|40.6052778|-124.0386111|84|Hydesville|01/19/1981|06/08/2016
218212|Amador Creek|Stream|CA|Amador|38.424633|-120.8729934|38.4365769|-120.731322|167|Amador City|01/19/1981|12/13/2015
218248|Anderson Canyon|Valley|CA|Lassen|40.979896|-120.5830088|41.0129512|-120.5996763|1615|Anderson Mountain|01/19/1981|08/17/2016
218250|Anderson Creek|Stream|CA|Lake|38.7743494|-122.6888773|38.7988889|-122.7430556|402|Whispering Pines|01/19/1981|06/08/2016
218252|Anderson Creek|Stream|CA|Mendocino|39.9465363|-123.8989141|39.9430556|-123.9463889|255|Bear Harbor|01/19/1981|06/08/2016
218253|Anderson Creek|Stream|CA|Humboldt|40.0312554|-123.9558615|40.0275|-123.9744444|298|Briceland|01/19/1981|06/08/2016
218254|Anderson Creek|Stream|CA|Humboldt|40.2026429|-123.77781|40.2116667|-123.7502778|77|Miranda|01/19/1981|06/08/2016
218255|Anderson Creek|Stream|CA|Shasta|40.3845984|-122.1983328|40.442096|-122.4250085|106|Balls Ferry|01/19/1981|12/17/2015
218272|Anderson Valley|Valley|CA|Mendocino|39.0865657|-123.4794542|38.991289|-123.3513971|51|Philo|01/19/1981|06/08/2016
218275|Andrews Creek|Stream|CA|Shasta|40.5218166|-122.5580693|40.5458333|-122.6088889|342|Igo|01/19/1981|12/17/2015
218295|Antelope Creek|Stream|CA|San Benito|36.6452339|-121.0293566|36.6861111|-121.0022222|599|Panoche Pass|01/19/1981|04/21/2015
218296|Antelope Creek|Stream|CA|Amador|38.4535212|-120.5099252|38.5146309|-120.4721459|804|West Point|01/19/1981|12/13/2015
218298|Antelope Creek|Stream|CA|Tehama|40.3743188|-122.4372302|40.4443176|-122.5205674|151|Mitchell Gulch|01/19/1981|12/17/2015
218308|Antone Creek|Stream|CA|Trinity|40.0148739|-123.211961|40.0538889|-123.2241667|840|Four Corners Rock|01/19/1981|06/08/2016
218309|Antone Creek|Stream|CA|Humboldt|40.4359672|-124.2067155|40.4180556|-124.2275|139|Taylor Peak|01/19/1981|06/08/2016
218323|Appletree Creek|Stream|CA|Lake|38.736295|-122.6833216|38.7341667|-122.705|595|Mount Saint Helena|01/19/1981|06/08/2016
218335|Arastradero Creek|Stream|CA|Santa Clara|37.3840712|-122.1661234|37.3677185|-122.174687|79|Palo Alto|01/19/1981|09/06/2011
218350|Archibald Creek|Stream|CA|Santa Cruz|37.0541155|-122.2263584|37.0608333|-122.1977778|7|Davenport|01/19/1981|04/21/2015
218376|Armstrong Creek|Stream|CA|Trinity|40.2229256|-123.303079|40.2125|-123.3369444|838|Shannon Butte|01/19/1981|06/08/2016
218384|Arnold Creek|Stream|CA|Humboldt|40.4059731|-123.8622624|40.3833333|-123.8436111|94|Bridgeville|01/19/1981|06/08/2016
